期号_源,期号_目标,Top1_命中,Top2_命中,Top3_命中,Top4_命中,Top5_命中,补漏6_命中,后区_命中,号码池_命中数,号码池_命中率,Top5_联合覆盖,Top5+补漏6_联合覆盖,补漏6_增补,Top1_号码,Top2_号码,Top3_号码,Top4_号码,Top5_号码,补漏6_号码,目标前区,目标后区
2026016,2026026,0,0,0,1,0,2,1,3,60.0%,1,3,2,"8 9 13 18 29","9 12 23 25 28","5 9 13 18 24","4 8 9 13 22","3 8 9 14 25","2 6 10 11 15","10 11 22 26 32","1 8"
2026017,2026027,0,0,0,0,1,2,0,3,60.0%,1,3,2,"3 4 13 23 25","3 5 6 21 30","3 13 24 31 35","2 3 13 23 33","3 5 10 13 26","1 8 9 11 15","9 10 11 12 16","1 11"
2026018,2026028,0,0,2,0,1,0,1,3,60.0%,3,3,0,"9 10 13 26 35","5 9 11 16 23","13 15 19 30 31","6 9 10 23 25","9 10 16 29 33","3 8 12 18 21","15 27 29 30 34","1 10"
2026019,2026029,2,0,2,0,1,1,1,5,100.0%,4,5,1,"3 12 13 14 33","4 11 12 15 23","13 14 17 31 35","13 14 18 26 32","13 14 16 29 35","5 8 9 10 21","3 5 17 33 35","5 7"
2026020,2026030,2,0,1,1,1,1,2,3,60.0%,2,3,1,"1 3 13 22 23","3 9 21 23 30","3 11 22 25 29","3 10 13 23 31","3 13 23 24 33","2 5 20 27 35","2 13 22 28 34","5 12"
2026021,2026031,1,0,0,2,1,0,0,3,60.0%,2,2,0,"4 8 12 13 16","12 14 18 23 32","5 12 13 14 25","6 8 12 14 15","8 12 13 17 35","2 3 7 9 11","6 8 22 29 34","5 7"
2026022,2026032,0,0,1,1,0,1,0,4,80.0%,2,3,1,"5 6 9 14 23","8 13 16 25 29","4 6 8 15 22","5 6 14 18 26","6 12 14 25 28","2 3 7 10 11","3 4 19 26 32","1 12"
2026023,2026033,2,2,1,0,1,1,1,4,80.0%,3,4,1,"5 9 23 26 27","9 13 18 25 27","6 9 23 27 28","8 15 23 26 27","9 16 23 27 35","3 4 12 22 29","3 5 7 9 18","2 10"
2026024,2026034,1,1,0,1,0,1,1,4,80.0%,2,3,1,"3 5 9 18 27","3 4 8 13 25","3 5 10 14 21","5 9 23 27 28","3 5 8 21 22","1 2 6 7 12","11 12 25 26 27","8 11"
2026025,2026035,0,0,0,1,0,1,2,3,60.0%,1,2,1,"4 5 13 23 28","3 5 18 24 27","9 14 23 25 28","5 26 27 29 33","4 5 8 15 23","2 12 16 31 32","2 22 30 33 34","8 12"
2026026,2026036,2,0,1,1,0,1,2,4,80.0%,3,4,1,"10 14 23 26 32","6 10 12 13 24","11 25 26 30 33","3 4 10 12 22","5 10 12 21 23","9 15 16 20 31","4 7 16 26 32","5 8"
2026027,2026037,1,2,0,0,0,1,2,4,80.0%,3,4,1,"5 10 12 14 26","11 13 16 29 32","4 6 10 11 22","3 10 11 15 26","2 5 10 11 23","1 7 8 9 21","7 12 13 28 32","6 8"
2026028,2026038,0,1,0,0,0,1,0,2,40.0%,1,2,1,"5 14 23 27 29","9 10 16 25 33","3 4 10 12 24","10 13 15 28 29","10 25 26 32 34","10 18 30 31 35","8 17 21 33 35","6 7"
2026029,2026039,0,1,1,1,0,0,1,3,60.0%,3,3,0,"3 4 13 18 35","5 27 29 33 34","2 3 5 11 23","3 5 7 9 16","3 15 17 33 34","6 8 10 14 25","9 11 20 26 27","6 9"
2026030,2026040,3,0,0,1,1,1,1,4,80.0%,3,4,1,"3 12 13 23 34","14 26 28 32 33","2 3 5 11 22","3 4 10 12 16","3 4 12 18 26","9 15 21 24 29","6 12 13 21 34","8 9"
2026031,2026041,0,2,1,0,0,0,2,3,60.0%,3,3,0,"4 6 22 23 28","13 26 29 32 34","3 6 8 12 24","4 6 18 22 33","6 14 22 28 35","2 5 9 11 16","24 25 27 29 34","2 6"
2026032,2026042,0,1,2,0,0,0,1,5,100.0%,3,3,0,"3 4 23 29 32","3 13 22 26 34","2 3 5 9 24","3 14 23 25 32","3 4 6 12 22","15 16 27 33 35","2 7 13 19 24","3 8"
2026033,2026043,1,0,0,1,1,2,2,5,100.0%,3,5,2,"3 4 9 13 22","5 18 23 27 29","3 7 15 28 29","3 5 8 17 29","3 5 13 14 33","2 6 10 12 19","8 12 14 19 22","11 12"
